country,countrycode,year,k,y,k_over_y,rnna,rgdpna,emp,delta,csh_i,hc
Spain,ESP,1984,408305.0770752201,77402.06017739313,5.275118984423028,4879777.5,925055.4375,11.9513025283813,0.0310413129627705,0.208413332700729,2.29323315620422
Spain,ESP,1985,422600.418310757,80037.27049412216,5.280045355142293,4997721.0,946529.9375,11.826114654541,0.0307091027498245,0.211486905813217,2.31556224822998
Spain,ESP,1986,425256.2900839137,80850.11451767062,5.259810609061903,5140537.5,977323.6875,12.0880928039551,0.030601017177105,0.226524174213409,2.33810830116272
Spain,ESP,1987,420098.65574037406,81552.47851464825,5.151267789671371,5313723.0,1031536.9375,12.6487503051758,0.0307505391538143,0.24530354142189,2.36087393760681
Spain,ESP,1988,422577.46070261125,82960.97662016949,5.093689562471642,5522002.0,1084086.875,13.0674314498901,0.0311545729637146,0.270821481943131,2.38386154174805
Spain,ESP,1989,426487.2761818265,84104.03693913782,5.070948930673275,5762707.5,1136416.0,13.5120267868042,0.031711183488369,0.290034532546997,2.40707278251648
Spain,ESP,1990,429774.9633918773,84260.47191700239,5.100552532096082,6015533.0,1179388.5,13.9969367980957,0.0322598963975906,0.295562595129013,2.4305100440979
Spain,ESP,1991,441612.1901629472,85304.6112675087,5.1768853242655934,6261006.0,1209415.625,14.1776113510132,0.0326787978410721,0.295294135808945,2.45371913909912
Spain,ESP,1992,463069.86920975,87287.72508658339,5.305097237331099,6475687.5,1220653.875,13.9842557907105,0.0329505875706673,0.289972066879272,2.47714948654175
Spain,ESP,1993,488665.30532939493,88860.91078936923,5.4992155829653715,6643397.5,1208062.75,13.5949850082397,0.0329264104366303,0.260856419801712,2.50080394744873
Spain,ESP,1994,503389.01728923677,91377.39543767818,5.50890091447793,6813702.0,1236853.25,13.5356588363647,0.0327058024704456,0.264971315860748,2.52468395233154
Spain,ESP,1995,507872.42864984315,92094.6054987497,5.514681624394798,7008937.0,1270959.5,13.8005857467651,0.0326177477836609,0.278194844722748,2.54879212379456
Spain,ESP,1996,514496.9660363052,93108.10221607333,5.525802307111004,7206190.5,1304098.5,14.0062837600708,0.0326816737651825,0.27001029253006,2.56882691383362
Spain,ESP,1997,510187.57348470856,92927.90971230876,5.490143650752231,7416528.0,1350880.5,14.536865234375,0.032866545021534,0.256936341524124,2.58531641960144
Spain,ESP,1998,504647.43846221874,92794.97105002934,5.438305899035669,7662546.5,1408995.125,15.1839599609375,0.0332199856638908,0.259453624486923,2.6019115447998
Spain,ESP,1999,499741.76323129295,92581.27834148692,5.397870629826375,7940892.5,1471115.75,15.8899917602539,0.0336950123310089,0.269452512264252,2.61861324310303
Spain,ESP,2000,493202.3938008186,92618.81703372861,5.32507766344296,8241214.0,1547623.25,16.7095985412598,0.0341637246310711,0.265869170427322,2.63542246818543
Spain,ESP,2001,494894.35290742316,93116.85068490928,5.314766868373339,8547612.0,1608276.0,17.2715892791748,0.0345014594495297,0.250739365816116,2.65172410011292
Spain,ESP,2002,502112.94629986596,93620.88144076293,5.363258052826277,8863274.0,1652591.375,17.6519527435303,0.0346668139100075,0.244751930236816,2.66812658309937
Spain,ESP,2003,505299.23793100327,93373.23725177423,5.4116067173348625,9206040.0,1701165.75,18.2189865112305,0.0347674265503883,0.267911106348038,2.68463063240051
Spain,ESP,2004,505289.9250944411,92678.31564847709,5.452083602932248,9563767.0,1754149.0,18.9272861480713,0.0348853133618832,0.295910984277725,2.70123672485352
Spain,ESP,2005,505339.6305023739,92231.38287416147,5.479042108604709,9952367.0,1816442.875,19.6944122314453,0.0350442752242088,0.318471848964691,2.71794581413269
Spain,ESP,2006,505471.37294984516,92081.55975365521,5.489387607053216,10374336.0,1889889.5,20.5240821838379,0.035267811268568,0.343716025352478,2.73475813865662
Spain,ESP,2007,510697.6725492454,92461.59230995171,5.523349315002859,10807365.0,1956668.75,21.1619625091553,0.0355477333068848,0.367256641387939,2.75167417526245
