countrycode,years,first,last,gy,cap,tfp,band,country
ESP,5,1964,1968,5.222368690625565,2.4313155485717055,2.7910531420538596,$30-40k,Spain
FRA,5,1960,1964,5.998616347524006,1.5664758619417776,4.432140485582229,$30-40k,France
GBR,13,1952,1964,2.1709178512527645,1.3879322169903692,0.7829856342623953,$30-40k,U.K.
GRC,3,1967,1969,8.709530272714202,2.4435593674165665,6.265970905297635,$30-40k,Greece
HKG,6,1977,1982,4.637815019515863,1.6989717755735139,2.9388432439423506,$30-40k,Hong Kong
HUN,16,1978,1993,1.6631353318600217,1.6538821455784483,0.009253186281573483,$30-40k,Hungary
IRL,7,1963,1969,4.535933773202875,1.8631590134377534,2.6727747597651215,$30-40k,Ireland
ITA,4,1960,1963,7.041695078723009,2.366044366638409,4.6756507120846,$30-40k,Italy
JPN,8,1971,1978,3.683875163189887,2.625451989829619,1.058423173360268,$30-40k,Japan
KOR,5,1989,1993,5.402051003604846,3.1482329098629807,2.2538180937418657,$30-40k,South Korea
MEX,7,1958,1964,4.019551219610053,1.4352699708395007,2.5842812487705524,$30-40k,Mexico
MYS,5,1991,1995,5.96532505870865,2.707032036571455,3.2582930221371953,$30-40k,Malaysia
POL,7,1991,1998,3.8202057696445784,1.5389237000456426,2.281282069598936,$30-40k,Poland
PRT,7,1971,1977,3.9757896032074007,1.9742087034946922,2.001580899712709,$30-40k,Portugal
SGP,4,1970,1973,6.104370388858227,3.133448586849082,2.970921802009145,$30-40k,Singapore
THA,12,2011,2023,2.466036625810538,0.846830415218057,1.6192062105924807,$30-40k,Thailand
TUR,15,1976,1990,1.9127722084055658,1.1964721181009352,0.7163000903046306,$30-40k,Turkey
TWN,4,1988,1991,6.23950759231513,2.6651830363152365,3.5743245559998935,$30-40k,Taiwan
